BrentOilPrice,FuelPrice,USD/TRY
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.31,6.46
64.14,6.3,6.46
64.14,6.3,6.46
64.14,6.3,6.46
64.14,6.3,6.46
64.14,6.32,6.46
64.14,6.32,6.46
64.14,6.32,6.46
64.67,6.32,6.43
65.37,6.32,6.34
64.55,6.32,6.08
64.6,6.32,6.17
65.12,6.32,6.31
65.12,6.32,6.31
65.12,6.32,6.31
65.32,6.32,6.38
65.31,6.32,6.25
64.92,6.32,6.2
64.75,6.32,6.29
65.53,6.32,6.15
65.53,6.32,6.15
65.53,6.32,6.15
65.82,6.32,6.16
65.73,6.32,6.11
66.27,6.32,6.01
66.66,6.32,6.06
67.68,6.32,5.94
67.68,6.32,5.94
67.68,6.32,5.94
67.73,6.32,5.99
68.77,6.32,6.05
67.82,6.32,6.16
68.14,6.32,6.13
68.09,6.32,6.11
68.09,6.32,6.11
68.09,6.32,6.11
68.5,6.32,6.1
67.11,6.32,6.08
65.52,6.32,5.93
65.32,6.32,5.87
64.82,6.32,5.79
64.82,6.32,5.79
64.82,6.32,5.79
64.61,6.34,5.69
64.06,6.34,5.59
63.59,6.34,5.64
64.05,6.34,5.64
65.16,6.34,5.67
65.16,6.36,5.67
65.16,6.36,5.67
64.51,6.36,5.74
64.36,6.36,5.7
64.49,6.36,5.63
65.62,6.36,5.59
65.99,6.36,5.56
65.99,6.36,5.56
65.99,6.36,5.56
64.79,6.36,5.48
64.4,6.36,5.58
63.06,6.36,5.51
63.63,6.36,5.43
64.22,6.36,5.31
64.22,6.36,5.31
64.22,6.36,5.31
64.89,6.36,5.36
67.37,6.39,5.36
67.07,6.39,5.46
66.62,6.39,5.46
66.31,6.39,5.47
66.31,6.39,5.47
66.31,6.39,5.47
64.65,6.39,5.48
65.42,6.39,5.46
64.02,6.39,5.35
63.98,6.39,5.33
64.26,6.39,5.31
64.26,6.39,5.31
64.26,6.39,5.31
