BrentOilPrice,FuelPrice,USD/TRY
65.14,6.31,6.2753
65.33,6.31,6.4687
65.31,6.31,6.6542
64.69,6.31,6.5396
64.95,6.31,6.636
64.97,6.3,6.6712
64.44,6.3,6.6011
63.98,6.3,6.5826
64.15,6.3,6.4089
64.22,6.32,6.4643
64.76,6.32,6.4304
65.46,6.32,6.3447
64.63,6.32,6.0821
64.68,6.32,6.169
65.2,6.32,6.3131
65.41,6.32,6.3845
65.4,6.32,6.2501
65.02,6.32,6.2001
64.85,6.32,6.2907
65.64,6.32,6.153
65.93,6.32,6.1616
65.84,6.32,6.11
66.38,6.32,6.0104
66.78,6.32,6.0559
67.81,6.32,5.9397
67.86,6.32,5.9851
68.9,6.32,6.0464
67.95,6.32,6.1642
68.28,6.32,6.133
68.23,6.32,6.1113
68.65,6.32,6.1006
67.26,6.32,6.0759
65.67,6.32,5.9256
65.46,6.32,5.8732
65,6.32,5.7873
64.81,6.34,5.6857
64.26,6.34,5.5856
63.77,6.34,5.6372
64.23,6.34,5.6409
65.33,6.34,5.6698
64.64,6.36,5.74
64.5,6.36,5.7027
64.63,6.36,5.6349
65.76,6.36,5.5936
66.13,6.36,5.5611
64.92,6.36,5.4757
64.53,6.36,5.5829
63.18,6.36,5.5109
63.74,6.36,5.4289
64.34,6.36,5.312
65.01,6.36,5.3571
67.46,6.39,5.3611
67.15,6.39,5.4613
66.69,6.39,5.4561
66.39,6.39,5.4655
64.69,6.39,5.4774
65.46,6.39,5.4604
64.06,6.39,5.3514
64,6.39,5.333
64.27,6.39,5.3125
61.7,6.39,5.3781
62.89,6.39,5.3083
63.31,6.39,5.3029
62.05,6.26,5.2866
62.09,6.29,5.2485
62.62,6.09,5.2693
62.56,6.09,5.2219
63.12,6.04,5.1642
61.65,6.04,5.2153
63.06,6.04,5.2503
63.2,6.04,5.3875
62.72,5.96,5.3254
62.04,5.96,5.3397
61.63,5.96,5.3029
60.17,5.96,5.3254
60.38,5.96,5.3651
60.4,5.96,5.3454
61.08,5.96,5.3401
60.47,5.96,5.3621
60.57,5.96,5.3717
59.16,5.96,5.3455
59.96,5.96,5.2839
59.08,5.96,5.2625
59.11,5.96,5.3149
57.87,5.96,5.285
60.69,5.71,5.2782
59.14,5.71,5.2854
58.99,5.71,5.2733
59.65,5.71,5.2894
60.31,5.71,5.4009
60.69,5.71,5.4672
60.81,5.71,5.3323
60.79,5.71,5.3858
61.82,5.71,5.4857
63.09,5.89,5.4772
62.84,5.89,5.4171
61.9,5.89,5.4637
61.38,5.89,5.444
62.13,6.09,5.4471
62.37,6.09,5.3374
61.67,6.09,5.3476
61.29,6.09,5.3276
61.75,6.09,5.3224
61.55,6.09,5.3413
61.45,6.09,5.285
61.47,6.09,5.2654
61.64,6.09,5.2722
61.12,6.09,5.3269
61.7,6.09,5.3095
61.29,6.09,5.227
60.51,6.09,5.1646
61.83,6.09,5.2087
61.39,6.09,5.2177
60.9,6.09,5.1998
60.68,6.09,5.2159
60.32,6.09,5.2668
60.18,6.09,5.2474
60.05,6.09,5.2787
60.18,6.09,5.2526
60.68,6.09,5.2844
61.08,6.09,5.273
61.44,6.09,5.2838
61.62,6.09,5.2974
61.78,6.09,5.2827
61.61,6.09,5.3254
61.57,6.09,5.32
61.42,6.09,5.318
60.61,6.09,5.3029
60.48,6.36,5.3064
60.78,6.36,5.3131
60.63,6.36,5.337
60.07,6.36,5.3733
61.1,6.36,5.3777
61.15,6.36,5.3865
60.94,6.36,5.4279
60.8,6.36,5.4702
60.82,6.36,5.4395
60.9,6.36,5.4451
61.05,6.36,5.4548
61.56,6.36,5.4562
61.04,6.36,5.4667
61.01,6.36,5.4466
61.05,6.36,5.4678
60.99,6.36,5.4757
61.03,6.36,5.4234
61.03,6.36,5.4654
60.69,6.36,5.7593
60.77,6.36,5.5503
60.69,6.36,5.3278
60.49,6.36,5.3288
60.62,6.36,5.5603
60.56,6.36,5.5707
60.79,6.36,5.4888
60.51,6.36,5.6093
60.79,6.36,5.6248
60.69,6.36,5.5921
60.64,6.36,5.626
60.6,6.36,5.6882
60.82,6.36,5.6938
61.03,6.43,5.6805
60.99,6.43,5.7355
61.41,6.43,5.7815
61.97,6.43,5.8041
61.95,6.43,5.77
61.76,6.43,5.7424
