"timestamp","brentoilprice","fuelprice","date_column"
"1535317200000","65.49","6.31","2018-08-27"
"1535403600000","65.14","6.31","2018-08-28"
"1535490000000","65.33","6.31","2018-08-29"
"1535576400000","65.31","6.31","2018-08-30"
"1535662800000","64.69","6.31","2018-08-31"
"1535922000000","64.95","6.31","2018-09-03"
"1536008400000","64.97","6.31","2018-09-04"
"1536094800000","64.44","6.3","2018-09-05"
"1536181200000","63.98","6.3","2018-09-06"
"1536267600000","64.15","6.3","2018-09-07"
"1536526800000","64.22","6.32","2018-09-10"
"1536613200000","64.76","6.32","2018-09-11"
"1536699600000","65.46","6.32","2018-09-12"
"1536786000000","64.63","6.32","2018-09-13"
"1536872400000","64.68","6.32","2018-09-14"
"1537131600000","65.2","6.32","2018-09-17"
"1537218000000","65.41","6.32","2018-09-18"
"1537304400000","65.4","6.32","2018-09-19"
"1537390800000","65.02","6.32","2018-09-20"
"1537477200000","64.85","6.32","2018-09-21"
"1537736400000","65.64","6.32","2018-09-24"
"1537822800000","65.93","6.32","2018-09-25"
"1537909200000","65.84","6.32","2018-09-26"
"1537995600000","66.38","6.32","2018-09-27"
"1538082000000","66.78","6.32","2018-09-28"
"1538341200000","67.81","6.32","2018-10-01"
"1538427600000","67.86","6.32","2018-10-02"
"1538514000000","68.9","6.32","2018-10-03"
"1538600400000","67.95","6.32","2018-10-04"
"1538686800000","68.28","6.32","2018-10-05"
"1538946000000","68.23","6.32","2018-10-08"
"1539032400000","68.65","6.32","2018-10-09"
"1539118800000","67.26","6.32","2018-10-10"
"1539205200000","65.67","6.32","2018-10-11"
"1539291600000","65.46","6.32","2018-10-12"
"1539550800000","65","6.32","2018-10-15"
"1539637200000","64.81","6.32","2018-10-16"
"1539723600000","64.26","6.34","2018-10-17"
"1539810000000","63.77","6.34","2018-10-18"
"1539896400000","64.23","6.34","2018-10-19"
"1540155600000","65.33","6.34","2018-10-22"
"1540242000000","64.64","6.34","2018-10-23"
"1540328400000","64.5","6.36","2018-10-24"
"1540414800000","64.63","6.36","2018-10-25"
"1540501200000","65.76","6.36","2018-10-26"
"1540760400000","66.13","6.36","2018-10-29"
"1540846800000","64.92","6.36","2018-10-30"
